Epoch,TrainLoss,ValLoss
1,0.14737274798941105,0.21576166219181483
2,0.09155068158152256,0.18372767236497667
3,0.07797725157851869,0.17018762959374323
4,0.0706922604325921,0.16450006059474415
5,0.06504221845101169,0.1571196548640728
6,0.0599883122845216,0.16574424745308028
7,0.055938836623062475,0.17816546219918464
8,0.051987118305678065,0.17194342753953404
9,0.04855729764367037,0.17449623536732461
10,0.04518399781923979,0.1739438516398271
11,0.04205780038411947,0.17624689613779385
12,0.03975672673116973,0.17055723071098328
13,0.03763907415633823,0.1801164752907223
14,0.0352496756637033,0.1845926485955715
15,0.03370694900327857,0.18100393190979958
16,0.03211346288469243,0.19263726174831391
17,0.030601674958350176,0.1817112219830354
18,0.029396109590108726,0.19325425484114223
19,0.028302047084620658,0.1965115381611718
20,0.027306852039900867,0.19516385793685914
21,0.02626376425688888,0.1866874589688248
22,0.025405357879130765,0.2038771362768279
23,0.024666515704085852,0.21225206934743457
24,0.023812555727806498,0.19642758551571105
25,0.023105883980764352,0.20273753851652146
26,0.022656282677533144,0.20112177125281758
27,0.022195025822742187,0.20044122255510755
28,0.021742283604405027,0.20864148785670597
29,0.021092391572892666,0.19836400581730737
30,0.02053924774790698,0.20286883835991223
31,0.020342769576831066,0.20953162130382325
32,0.019859098977944318,0.20460171384943857
33,0.01953946337341628,0.20492323314150174
34,0.019191351402154628,0.19979985488785637
35,0.018638271660088225,0.2057675692770216
36,0.018542527562958447,0.20616492794619667
37,0.018156994540402864,0.20615180490745438
38,0.017921738559380174,0.19427940547466277
39,0.01758257367529292,0.20880459580156538
40,0.017193684339562944,0.20626643258664343
41,0.016954001306774134,0.1981200434267521
42,0.016721144714888107,0.19941056883997388
43,0.016684284443630182,0.1957184600333373
44,0.01640779469063149,0.20874999082750745
45,0.016304941976720347,0.19028163626790046
46,0.016116314057379642,0.19866228178143502
47,0.015837021018477514,0.2052364431321621
48,0.015579580750435274,0.19798647521270646
49,0.015532165359547163,0.20197335357467333
50,0.015253820738933504,0.19927604206734234
51,0.015115528565613514,0.1945806510746479
52,0.014812280067262497,0.19081679185231526
53,0.014769625959006395,0.2044235096209579
54,0.014655556212714378,0.2002340339952045
55,0.014483105282279406,0.20610800807674726
56,0.014396241073437194,0.19869960414038765
57,0.014241218958248167,0.20337433599763446
58,0.014107956303323203,0.2030864942404959
59,0.014073189585766893,0.2037175749739011
60,0.013891766704817085,0.20174952157669598
61,0.013793130969985369,0.19530146684911515
62,0.013692030326483097,0.21331795064939393
63,0.01350477822818496,0.2062375206914213
64,0.013414233264097191,0.21841760319140222
65,0.013546627094136907,0.19211222074098058
66,0.013223011829355296,0.2036419483522574
67,0.013268348978871995,0.20366599700517124
68,0.013061914449319877,0.20252879220578407
69,0.012977572157979012,0.21001346500383483
70,0.012803572923579115,0.214494242436356
71,0.012723454987590617,0.1965828569398986
72,0.01266153332123414,0.1998283257914914
73,0.012599113228869564,0.20197859116726452
74,0.012465320582045837,0.1998782845834891
75,0.01244952188348992,0.2109304929773013
76,0.012429782006136597,0.19781835203369458
77,0.012419353685084176,0.19857487363947762
78,0.012293508568620111,0.20326613593432638
79,0.012240957156655954,0.20131198763847352
80,0.012127395446828388,0.20530734856923422
81,0.012021017032972675,0.20070725075072712
82,0.011931657637568547,0.19653251287009982
83,0.01192172052477427,0.20652655123008623
84,0.011869980765387733,0.20168714647491773
85,0.011803046393981005,0.2021514499353038
86,0.011804198202221318,0.20775981239146657
87,0.011714386669522587,0.2034261290397909
88,0.011573344295685913,0.20362116694450377
89,0.011556607235143793,0.2098412780298127
90,0.011595256324421535,0.20936882976028653
91,0.011428928834960815,0.20987369418144225
92,0.011490482306900494,0.2037627103428046
93,0.011397811678297658,0.19991775734557046
94,0.011348990203337149,0.2159360684454441
95,0.011288084966586308,0.20614177617761825
96,0.011208114813656566,0.20429007965657447
97,0.011209693405420539,0.20405959263443946
98,0.011089887370930073,0.19703187710709041
99,0.011131208394951325,0.20650101039144728
100,0.011110563187840138,0.20570629727509288
