Epoch,TrainLoss,ValLoss
1,0.1481216114331433,0.24722688777579202
2,0.09091334040970245,0.19776851418945524
3,0.07801011208682618,0.1940472513437271
4,0.07041224920527732,0.20373073352707757
5,0.06484384872415598,0.19160731236139933
6,0.06051451102533239,0.21309704830249152
7,0.05633967300441037,0.1870316594839096
8,0.05173195389277758,0.19126523741417462
9,0.04826063474521358,0.17931495822138258
10,0.04502503859235885,0.19472745971547234
11,0.04196639632449505,0.1703529750307401
12,0.03958976102319169,0.18958283596568637
13,0.03736263224260604,0.17648402775327365
14,0.0352490506174558,0.17282391215364137
15,0.03339853286346857,0.18187665541966755
16,0.031946303342726634,0.17896171940697564
17,0.030384473601712824,0.17477010720305972
18,0.029295727749295692,0.17097133033805423
19,0.028292275965213776,0.18335237751404446
20,0.02723955963441032,0.16992561916510265
21,0.026226504656307874,0.18436783916420407
22,0.02538844159348531,0.17165671934684118
23,0.02467031384560656,0.17562060703833898
24,0.02399463908984623,0.17998413484957482
25,0.02336997662651095,0.17229137991865476
26,0.022913065560637637,0.18032650988962914
27,0.0220894647583841,0.17177822954124874
28,0.021593692444978243,0.181268284138706
29,0.02104731542157366,0.17662343374556966
30,0.020637199163753936,0.17264159346620242
31,0.020215007020755016,0.16402464980880418
32,0.019759086515516677,0.16711899331874316
33,0.01960333754268891,0.17575437501072882
34,0.01903950748965144,0.167150497270955
35,0.01873353009726456,0.17790518113308482
36,0.018386609025022135,0.17227493706676694
37,0.017976347545280734,0.17574033588171006
38,0.01785701450376593,0.16887186384863323
39,0.017682411603907003,0.17163664723436037
40,0.01731357263262443,0.17100918044646582
41,0.017199664208245403,0.1762012268933985
42,0.016877058705196103,0.1672795149187247
43,0.01660703222188068,0.1697264767355389
44,0.01625169264747107,0.17317471586995656
45,0.016321309168446572,0.1782843085626761
46,0.016055202701109203,0.15997132882475854
47,0.015813732613868852,0.1641204366253482
48,0.015617818596396358,0.17029036730527877
49,0.015514313614867787,0.1688785293036037
50,0.015237049392840646,0.16687525659799576
51,0.01498488127749334,0.1712870435582267
52,0.014943482096683471,0.17376448412736256
53,0.01485908993004643,0.18000375347004996
54,0.014692560625956096,0.1793922853966554
55,0.01457515500109405,0.1712763126525614
56,0.014395342307521942,0.16424820613529947
57,0.014276046196910296,0.1654828021923701
58,0.014154102925726391,0.17615248519513343
59,0.01395096618464177,0.1637084808614519
60,0.013896037502452097,0.16864061968194113
61,0.013783789165516166,0.1760416059858269
62,0.013718814792190778,0.16666822938455475
63,0.013641808266216453,0.1729087486035294
64,0.013382660091279986,0.17927105062537724
65,0.013350708504266878,0.1722069977886147
66,0.013168974051331269,0.17539369869563315
67,0.01318252901546657,0.17240286187993156
68,0.013047308552059088,0.16800265717837545
69,0.012868478587095408,0.16690554660227563
70,0.01277318054889428,0.17036178310712177
71,0.012768127866327129,0.1763376049697399
72,0.012744399723894101,0.1795467039777173
73,0.012714835884485473,0.1800000574025843
74,0.012573329360283752,0.17577256833513577
75,0.012435505617449575,0.17843700953655772
76,0.012436091771071895,0.18062255125906732
77,0.012280648470202342,0.1679045483469963
78,0.012224521378966723,0.1687836966580815
79,0.01217919022855448,0.1755821113785108
80,0.012052070924100723,0.17829928133222792
81,0.012052053709494625,0.16981444449888336
82,0.011940623415594405,0.174320025742054
83,0.011862574056028686,0.17181660119030212
84,0.011777756592021026,0.17653482349382507
85,0.011767958394905671,0.1816768160296811
86,0.011710361859939516,0.17827061861753463
87,0.011621034159225987,0.179110862645838
88,0.011561582593168033,0.1818676417072614
89,0.011600547886275231,0.17143730943401655
90,0.01148134898493423,0.17788909566071298
91,0.011403524247493515,0.18118935575087866
92,0.011391163328068053,0.18199452228016325
93,0.011267948608369903,0.17774583026766777
94,0.011352738415069402,0.1793327593141132
95,0.011190123068406544,0.18146309877435365
96,0.011154902182479805,0.18307887464761735
97,0.011138988926293367,0.1826424861119853
98,0.011126148578849561,0.17706274042526882
99,0.01097872991491347,0.17916913015974892
100,0.010995216043467851,0.1801935685177644
